GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG 
0620	02419337	Chicken Ranch Rancheria	4	2	28868	0	0.011	0.000	37.928494	-120.452142
0635	02419340	Chitimacha Reservation	555	219	1819473	0	0.703	0.000	29.883662	-91.531180 
0680	00937176	Pueblo de Cochiti	1727	741	207840140	4836791	80.248	1.867	35.610330	-106.314826 
0695	00003089	Cocopah Reservation	817	753	25995967	76159	10.037	0.029	32.614353	-114.799306 
0705	00395231	Coeur d'Alene Reservation	6760	4510	1356934960	33301406	523.916	12.858	47.294509	-116.825236
0720	00276284	Cold Springs Rancheria	184	48	416758	0	0.161	0.000	36.971586	-119.324232 
0735	00022753	Colorado River Indian Reservation	8764	5927	1184444159	17684719	457.316	6.828	33.939113	-114.388115
0750	02418877	Colusa Rancheria	76	26	1028550	0	0.397	0.000	39.253865	-122.024038 
0760	01529464	Colville Reservation	7685	3453	5479900174	179120751	2115.801	69.159	48.243797	-118.872063
0770	02418879	Coos, Lower Umpqua, and Siuslaw Reservation	0	0	82966	2912	0.032	0.001	42.810366	-124.447601 
0775	02418881	Coquille Reservation	323	167	26108297	102615	10.080	0.040	43.073552	-123.910054 
0780	00221603	Cortina Indian Rancheria	21	6	3077779	0	1.188	0.000	39.018296	-122.290411
0795	00545438	Coushatta Reservation	19	10	2983357	0	1.152	0.000	30.532110	-92.798727
0815	02418898	Cow Creek Reservation	78	29	10056766	0	3.883	0.000	43.065647	-123.352079 
0825	01985199	Coyote Valley Reservation	144	30	347174	0	0.134	0.000	39.254183	-123.208917
0845	00806896	Crow Reservation	6847	2260	9228038145	31354289	3562.966	12.106	45.398458	-107.712806 
0855	01267067	Crow Creek Reservation	2010	608	1094358696	100590002	422.534	38.838	44.124682	-99.463768 
0940	00862214	Dresslerville Colony	314	123	3178584	0	1.227	0.000	38.903803	-119.711570 
0955	00222639	Dry Creek Rancheria	0	0	325807	0	0.126	0.000	38.702491	-122.856484 
0965	00858264	Duck Valley Reservation	1309	493	1161676213	10555355	448.526	4.075	41.995269	-116.183786 
0975	00845441	Duckwater Reservation	156	75	16137152	57666	6.231	0.022	38.927055	-115.708820
0990	01018039	Eastern Cherokee Reservation	9018	4028	211578363	47464	81.691	0.018	35.536440	-83.247826 
1005	00856239	Elko Colony	736	267	781015	0	0.302	0.000	40.850687	-115.765395 
1010	01657318	Elk Valley Rancheria	91	39	361182	0	0.139	0.000	41.760326	-124.156507
1040	00859672	Ely Reservation	202	71	14629585	0	5.649	0.000	39.156100	-115.013166
1055	00259950	Enterprise Rancheria	1	3	168284	0	0.065	0.000	39.561638	-121.355480
1065	00241187	Ewiiaapaayp Reservation	0	0	22139266	0	8.548	0.000	32.841633	-116.385655 
1070	00850495	Fallon Paiute-Shoshone Colony	130	48	234278	0	0.090	0.000	39.484796	-118.760693
1075	00840414	Fallon Paiute-Shoshone Reservation	581	262	33125610	0	12.790	0.000	39.521002	-118.618146
1100	02418935	Flandreau Reservation	418	156	8973390	86662	3.465	0.033	44.083963	-96.589693
1110	00806894	Flathead Reservation	28359	15149	5013669297	316353119	1935.789	122.145	47.496665	-114.283915
1125	00654521	Fond du Lac Reservation	4240	1723	398567058	12670001	153.888	4.892	46.756209	-92.641644 
1135	02418936	Forest County Potawatomi Community	553	214	50135210	175451	19.357	0.068	45.489150	-88.620868 
1140	00004741	Fort Apache Reservation	13409	3815	6799286318	15508382	2625.219	5.988	33.936641	-110.134086 
1150	00767938	Fort Belknap Reservation	2851	994	2510842961	9531516	969.442	3.680	48.201990	-108.630473 
1160	01934325	Fort Berthold Reservation	6341	3614	3416490224	682466329	1319.114	263.502	47.769674	-102.296778 
1170	00260275	Fort Bidwell Reservation	94	49	13858152	14724	5.351	0.006	41.864135	-120.193204
1185	00399059	Fort Hall Reservation	5767	2057	2107579061	106333962	813.741	41.056	42.968171	-112.364866 
1195	00260277	Fort Independence Reservation	93	49	2261361	0	0.873	0.000	36.841118	-118.228936
1210	00859740	Fort McDermitt Indian Reservation	334	122	140875044	0	54.392	0.000	41.955742	-117.658418
1220	00036978	Fort McDowell Yavapai Nation Reservation	971	308	99968323	934540	38.598	0.361	33.646163	-111.659895 
1235	00024003	Fort Mojave Reservation	1243	650	133381331	2974771	51.499	1.149	34.938272	-114.614511 
1250	00805884	Fort Peck Indian Reservation	10008	3777	8516648986	34551258	3288.297	13.340	48.367538	-105.529709
1260	02418940	Fort Pierce Reservation	60	30	244944	0	0.095	0.000	27.402103	-80.434891 
1280	00242378	Fort Yuma Indian Reservation	2197	878	178533476	3609809	68.932	1.394	32.801848	-114.662749
